"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3170000","PHMH320203170035087500013","2020-07-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 879-21","서울특별시 금천구 금하로 633 (시흥동)","08626","씨유시흥본점","2023-06-29 10:14:46","U","2022-12-07 00:01:00.0","","191219.962380735","439204.015762203",""
"3170000","PHMH320203170035087500014","20200814","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로36길 8, 1층 (시흥동)","08651","씨유 시흥박미점","2020-08-14 10:34:49","I","2020-08-16 00:23:14.0","","191473.678569627    ","437945.283977421    ",""
"3170000","PHMH320203170035087500015","20200819","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 1069 호정타워아파트","서울특별시 금천구 시흥대로88길 21, 131~134호 (독산동, 호정타워아파트)","08620","세븐일레븐 금천호정점","2020-08-20 15:26:17","I","2020-08-22 00:23:13.0","","191107.710302267    ","439893.760903697    ",""
"3170000","PHMH320203170035087500016","20200827","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 233-5","서울특별시 금천구 디지털로10길 69, 가산센트럴푸르지오시티 1동 G07호 (가산동)","08516","씨유 가산센트럴푸르지오점","2020-08-27 16:36:01","I","2020-08-29 00:23:13.0","","190278.679728809    ","441481.431441947    ",""
"3170000","PHMH320203170035087500017","20200903","","03","폐업","03","폐업","20221215","","","","02-811-8357","","","서울특별시 금천구 가산동 371-37 에스티엑스브이타워","서울특별시 금천구 가산디지털1로 128, 에스티엑스브이타워 1층 103호 (가산동)","08507","세븐일레븐 가산STXV타워점","2022-12-15 14:16:03","U","2021-11-01 23:07:00.0","","189647.046752134","441677.096205358",""
"3170000","PHMH320203170035087500018","20201012","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 941-8","서울특별시 금천구 시흥대로28길 35, 1층 (시흥동)","08651","씨유 금산초교점","2020-10-12 17:28:00","I","2020-10-14 00:23:10.0","","191595.745126858    ","437818.53216611     ",""
"3170000","PHMH320203170035087500019","20201013","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 878-41","서울특별시 금천구 독산로106길 19 (독산동)","08547","지에스(GS)25 금천왕창점","2020-10-14 09:07:52","I","2020-10-16 00:23:10.0","","191521.396317755    ","441767.558563745    ",""
"3170000","PHMH320203170035087500020","20201125","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 862-14","서울특별시 금천구 독산로43가길 14 (시흥동)","08621","씨유 금천히어로점","2020-11-26 09:14:17","I","2020-11-28 00:23:08.0","","191384.237468168    ","439834.222821067    ",""
"3170000","PHMH320203170035087500021","2020-12-23","","03","폐업","03","폐업","2023-04-11","","","","02-804-1603","","","서울특별시 금천구 시흥동 944-19","서울특별시 금천구 시흥대로28길 35-27 (시흥동)","08651","(주)코리아세븐 금천하이츠점","2023-04-11 17:24:42","U","2022-12-03 23:03:00.0","","191603.584959355","437952.709304478",""
"3170000","PHMH320203170035087500022","20201229","","01","영업/정상","13","영업중","","","","","02-806-1577","","","서울특별시 금천구 독산동 1150 금천 롯데캐슬 골드파크 2차","서울특별시 금천구 벚꽃로 30, 205동 118호 (독산동, 금천 롯데캐슬 골드파크 2차)","08608","지에스(GS25)독산골드파크점","2020-12-30 09:52:03","I","2021-01-01 00:23:05.0","","190567.418315661    ","439569.401459017    ",""
"3170000","PHMH320213170035087500001","20210129","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로73길 13, 1층 (독산동)","08581","세븐일레븐 금천보길점","2022-11-24 09:51:35","U","2021-10-31 22:06:00.0","","191180.641522042","440621.121423426",""
"3170000","PHMH320213170035087500002","20210218","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로 473, NBN빌딩 1층 (독산동)","08531","씨유 금천프라임점","2021-02-18 13:25:37","I","2021-02-20 00:23:02.0","","190926.242914246    ","441534.472272219    ",""
"3170000","PHMH320213170035087500003","20210309","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 두산로14길 18, 1층 101호 (독산동)","08584","(주)코리아세븐 금천리온점","2021-03-10 08:55:50","I","2021-03-12 00:23:00.0","","190622.331952391    ","440783.065142501    ",""
"3170000","PHMH320213170035087500004","20210323","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로 335, 1층 (독산동)","08604","세븐일레븐 금천마루점","2021-03-24 10:15:01","I","2021-03-26 00:22:59.0","","190818.110808126    ","440151.854703095    ",""
"3170000","PHMH320213170035087500005","20210323","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로115길 13, 105,106호 (독산동)","08585","씨유 금천수아주","2021-03-24 10:16:25","I","2021-03-26 00:22:59.0","","190862.10204000000  ","440958.95275800000  ",""
"3170000","PHMH320213170035087500006","20210323","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로50길 10, 1층 (시흥동)","08567","씨유 금천한율점","2021-03-25 09:09:06","I","2021-03-27 00:23:11.0","","191501.281401037    ","440044.767438191    ",""
"3170000","PHMH320213170035087500007","20210326","","03","폐업","03","폐업","20230106","","","","","","","","서울특별시 금천구 독산로28길 11 (시흥동)","08570","미니스톱 금천느티나무점","2023-01-06 10:46:08","U","2022-12-01 00:08:00.0","","","",""
"3170000","PHMH320213170035087500008","20210409","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 디지털로9길 46, 이앤씨드림타워7차 104호 (가산동)","08512","씨유 가산ENC7","2021-08-02 10:30:53","U","2021-08-04 02:40:00.0","","189943.546219232    ","441990.817436962    ","118.52"
"3170000","PHMH320213170035087500009","20210416","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 금하로23길 32, 1층 (시흥동)","08574","GS25 시흥은행점","2021-04-20 09:22:50","I","2021-04-22 00:23:10.0","","191869.753505001    ","438948.850924592    ",""
"3170000","PHMH320213170035087500010","20210419","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 벚꽃로24길 14, 1층 (가산동)","08518","(주)코리아세븐 가산용주점","2021-04-20 09:23:45","I","2021-04-22 00:23:10.0","","189951.567774536    ","441278.590689047    ",""
"3170000","PHMH320213170035087500011","20210422","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로98길 30, 1층 (독산동)","08619","씨유 금천블르빌점","2021-04-22 14:47:24","I","2021-04-24 00:22:57.0","","191062.084012961    ","440172.038463022    ","44"
"3170000","PHMH320213170035087500012","2021-04-27","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로153길 78, 1층 (가산동)","08529","세븐일레븐 금천본점","2023-06-29 10:14:25","U","2022-12-07 00:01:00.0","","190568.592852167","441606.525698085",""
"3170000","PHMH320213170035087500013","2021-05-04","","03","폐업","03","폐업","2023-05-09","","","","","","","","서울특별시 금천구 남부순환로126길 48, 1층 (독산동)","08547","씨유 독산호산나","2023-05-09 14:52:23","U","2022-12-04 23:01:00.0","","","",""
"3170000","PHMH320213170035087500014","20210510","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로56길 9, 1층 (시흥동)","08628","씨유 시흥샘길점","2021-05-10 13:10:18","I","2021-05-12 00:23:08.0","","191269.181999466    ","438945.628521766    ",""
"3170000","PHMH320213170035087500015","20210512","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 378-66","서울특별시 금천구 독산로58나길 48, 1층 (독산동)","08561","씨유 금천파크점","2021-05-12 10:12:41","I","2021-05-14 00:22:56.0","","191664.180288143    ","440323.711040288    ","69"
"3170000","PHMH320213170035087500016","20210525","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로10길 96, 상가동동 201,202-1호 (시흥동, 건영아파트)","08644","씨유 건영타운점","2021-05-25 15:49:07","I","2021-05-27 00:22:55.0","","192028.921341837    ","438583.251827435    ",""
"3170000","PHMH320213170035087500017","20210611","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 금하로 750, 상가1동 106호 (시흥동)","08645","GS25 시흥우방점","2021-06-11 16:26:30","I","2021-06-13 00:22:54.0","","192297.91598261     ","438580.148239494    ",""
"3170000","PHMH320213170035087500018","2021-06-14","","03","폐업","03","폐업","2023-05-10","","","","","","","","서울특별시 금천구 벚꽃로 100, 상가동 지하1층 6,7호 (독산동, 독산역 롯데캐슬)","08606","세븐일레븐 독산역롯데캐슬점","2023-05-11 09:22:04","U","2022-12-04 23:03:00.0","","","",""
"3170000","PHMH320213170035087500019","20210611","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로148길 54, 103,104호 (독산동, 조일하이츠맨숀)","08541","씨유 금천조일점","2021-06-14 14:44:17","I","2021-06-16 00:22:54.0","","191218.125319193    ","441476.941407818    ",""
"3170000","PHMH320213170035087500020","2021-07-02","","03","폐업","03","폐업","2023-03-15","","","","","","08625","","서울특별시 금천구 독산로25길 35, 1층 (시흥동)","08625","지에스25 시흥초교점","2023-03-15 13:17:28","U","2022-12-02 23:07:00.0","","","",""
"3170000","PHMH320213170035087500021","20210714","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로 348, 1층 (독산동)","08550","씨유 독산백광점","2021-07-14 10:20:10","I","2021-07-16 00:22:53.0","","191432.044877391    ","441748.984193168    ","0"
"3170000","PHMH320213170035087500022","2021-07-15","","03","폐업","03","폐업","2023-05-10","","","","","","","서울특별시 금천구 독산동 379-3","서울특별시 금천구 독산로58길 42, 지하1층 1호 (독산동)","08562","세븐일레븐 금천정훈점","2023-05-10 14:05:23","U","2022-12-04 23:02:00.0","","191556.114774643","440326.308868727",""
"3170000","PHMH320213170035087500023","2021-07-27","","03","폐업","03","폐업","2023-02-07","","","","","","","","서울특별시 금천구 시흥대로57길 5, 웨스트밸리 1층 108호 (시흥동)","08632","지에스25시흥웨스트점","2023-02-07 13:17:55","U","2022-12-02 00:09:00.0","","","",""
"3170000","PHMH320213170035087500024","20210804","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로 313(독산동)","08542","지에스25 독산반수점","2021-08-04 10:50:25","I","2021-08-06 00:22:51.0","","191372.117436323    ","441413.396592601    ","0"
"3170000","PHMH320213170035087500025","20210901","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로64길 10(독산동)","08562","씨유 독산정훈점","2021-09-03 10:28:25","I","2021-09-05 00:22:49.0","","191379.478618508    ","440304.334651266    ","70"
"3170000","PHMH320213170035087500026","20210907","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 범안로12길 44, 비105,비106호 (독산동)","08606","씨유 독산롯데캐슬점","2021-09-08 11:51:39","I","2021-09-10 00:22:49.0","","","","0"
"3170000","PHMH320213170035087500027","20210929","","03","폐업","03","폐업","20220318","","","","","","08606","","서울특별시 금천구 벚꽃로 104, 독산역 롯데캐슬 비205호 (독산동)","08606","세븐일레븐 금천롯데타워점","2022-04-15 11:10:51","U","2021-12-03 23:07:00.0","","","",""
"3170000","PHMH320213170035087500028","20211006","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 두산로 50, 1층 (독산동)","08583","씨유독산마차길점","2021-10-06 13:51:36","I","2021-10-08 00:22:47.0","","190507.697469161    ","440877.633009703    ","0"
"3170000","PHMH320213170035087500029","20211020","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 가산디지털2로 166, 에이스 K1타워 111,112호 (가산동)","08503","세븐일레븐 가산K1타워점","2021-10-20 16:49:29","I","2021-10-22 00:22:46.0","","","","0"
"3170000","PHMH320213170035087500030","20211103","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 금하로29길 15, 1층 (시흥동)","08657","지에스25 금천탑골점","2021-11-03 11:47:07","I","2021-11-05 00:22:45.0","","192184.804995303    ","438741.279370271    ","0"
"3170000","PHMH320213170035087500031","20211111","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 벚꽃로6길 21, 예일빌딩 103호 (독산동)","08607","세븐일레븐 금천예일점","2021-11-12 09:07:42","I","2021-11-14 00:22:45.0","","190493.815767037    ","439864.972664646    ","0"
"3170000","PHMH320213170035087500032","20211210","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 두산로3길 7, 102호 (독산동)","08526","씨유 독산유원점","2021-12-10 10:39:18","I","2021-12-12 00:22:53.0","","","","0"
"3170000","PHMH320213170035087500033","20211222","","03","폐업","03","폐업","20221207","","","","","","","","서울특별시 금천구 시흥대로 93, 1층 (시흥동)","08639","씨유 시흥공구단지점","2022-12-07 17:40:33","U","2021-11-02 00:09:00.0","","","",""
"3170000","PHMH320223170035087500001","20220117","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 문성로 47, 1층 (독산동)","08549","씨유 독산문성점","2022-01-17 16:49:41","I","2022-01-19 00:22:40.0","","191866.834191431    ","441654.490987833    ","0"
