"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,자양4동,10276,21362,10475,10887,17989,8964,9025,3373,1511,1862,10267,21352,10462,10890,17976,8957,9019,3376,1505,1871,10270,21384,10466,10918,17958,8932,9026,3426,1534,1892
"합계",동대문구,소계,171140,354884,172178,182706,337574,165933,171641,17310,6245,11065,171288,355244,172196,183048,337692,165936,171756,17552,6260,11292,171388,355405,172202,183203,337680,165868,171812,17725,6334,11391
"합계",동대문구,회기동,6775,13678,6147,7531,10548,5038,5510,3130,1109,2021,6740,13637,6106,7531,10496,4998,5498,3141,1108,2033,6751,13672,6105,7567,10513,4994,5519,3159,1111,2048
"합계",동대문구,휘경1동,7873,16340,7361,8979,14010,6597,7413,2330,764,1566,7836,16318,7343,8975,13963,6577,7386,2355,766,1589,7823,16335,7344,8991,13943,6574,7369,2392,770,1622
"합계",동대문구,휘경2동,12815,25390,12517,12873,24509,12205,12304,881,312,569,12804,25377,12497,12880,24493,12190,12303,884,307,577,12788,25355,12495,12860,24445,12179,12266,910,316,594
"합계",동대문구,청량리동,9763,19102,9454,9648,18608,9260,9348,494,194,300,9906,19261,9500,9761,18739,9299,9440,522,201,321,10025,19391,9550,9841,18853,9343,9510,538,207,331
"합계",동대문구,용신동,20477,36842,18029,18813,35219,17467,17752,1623,562,1061,20574,37027,18102,18925,35393,17539,17854,1634,563,1071,20608,37076,18096,18980,35437,17527,17910,1639,569,1070
"합계",동대문구,제기동,13492,26468,13181,13287,24133,12353,11780,2335,828,1507,13468,26430,13158,13272,24104,12340,11764,2326,818,1508,13474,26447,13167,13280,24103,12340,11763,2344,827,1517
"합계",동대문구,전농1동,14844,29353,14510,14843,28749,14289,14460,604,221,383,14846,29352,14509,14843,28734,14281,14453,618,228,390,14850,29349,14512,14837,28722,14280,14442,627,232,395
"합계",동대문구,전농2동,7553,18656,8868,9788,18108,8677,9431,548,191,357,7564,18611,8839,9772,18121,8680,9441,490,159,331,7562,18591,8834,9757,18104,8670,9434,487,164,323
"합계",동대문구,답십리2동,12506,27955,13504,14451,27694,13381,14313,261,123,138,12522,27960,13514,14446,27699,13394,14305,261,120,141,12519,27964,13513,14451,27699,13392,14307,265,121,144
"합계",동대문구,장안1동,18489,38611,19001,19610,37975,18750,19225,636,251,385,18446,38531,18972,19559,37893,18720,19173,638,252,386,18410,38452,18920,19532,37814,18668,19146,638,252,386
"합계",동대문구,장안2동,14192,32672,16161,16511,32373,16053,16320,299,108,191,14235,32747,16184,16563,32449,16077,16372,298,107,191,14260,32790,16226,16564,32488,16115,16373,302,111,191
"합계",동대문구,이문1동,10794,21266,10096,11170,17993,8920,9073,3273,1176,2097,10782,21440,10125,11315,17968,8912,9056,3472,1213,2259,10770,21446,10113,11333,17951,8884,9067,3495,1229,2266
"합계",동대문구,이문2동,8707,20075,9644,10431,19583,9424,10159,492,220,272,8704,20075,9631,10444,19573,9405,10168,502,226,276,8691,20059,9615,10444,19551,9386,10165,508,229,279
"합계",동대문구,답십리1동,12860,28476,13705,14771,28072,13519,14553,404,186,218,12861,28478,13716,14762,28067,13524,14543,411,192,219,12857,28478,13712,14766,28057,13516,14541,421,196,225
"합계",중랑구,소계,187898,389928,191122,198806,385003,189186,195817,4925,1936,2989,187977,389815,191046,198769,384867,189099,195768,4948,1947,3001,188020,389627,190973,198654,384650,189019,195631,4977,1954,3023
"합계",중랑구,면목2동,12219,24155,11988,12167,23786,11845,11941,369,143,226,12234,24155,11987,12168,23786,11841,11945,369,146,223,12237,24144,11980,12164,23770,11830,11940,374,150,224
"합계",중랑구,면목4동,8937,18645,9231,9414,18358,9115,9243,287,116,171,8949,18643,9247,9396,18357,9131,9226,286,116,170,8954,18663,9259,9404,18370,9142,9228,293,117,176
"합계",중랑구,면목5동,6459,14793,7375,7418,14670,7336,7334,123,39,84,6454,14801,7385,7416,14681,7347,7334,120,38,82,6457,14822,7393,7429,14696,7354,7342,126,39,87
"합계",중랑구,면목7동,10613,21774,10843,10931,21443,10717,10726,331,126,205,10619,21769,10834,10935,21433,10707,10726,336,127,209,10614,21742,10814,10928,21416,10692,10724,326,122,204
"합계",중랑구,상봉1동,10112,23555,11419,12136,23393,11351,12042,162,68,94,10118,23541,11417,12124,23379,11351,12028,162,66,96,10116,23532,11417,12115,23367,11350,12017,165,67,98
"합계",중랑구,상봉2동,12355,20615,9869,10746,20238,9723,10515,377,146,231,12373,20599,9852,10747,20215,9704,10511,384,148,236,12387,20636,9877,10759,20247,9725,10522,389,152,237
"합계",중랑구,중화1동,8992,19232,9435,9797,19045,9372,9673,187,63,124,8980,19225,9424,9801,19037,9358,9679,188,66,122,8977,19176,9401,9775,18987,9332,9655,189,69,120
"합계",중랑구,중화2동,13634,24773,12661,12112,24334,12483,11851,439,178,261,13638,24755,12645,12110,24315,12469,11846,440,176,264,13620,24690,12629,12061,24255,12455,11800,435,174,261
"합계",중랑구,묵1동,14969,34217,16310,17907,33997,16229,17768,220,81,139,14977,34203,16319,17884,33983,16237,17746,220,82,138,14978,34151,16288,17863,33929,16208,17721,222,80,142
"합계",중랑구,묵2동,9286,18653,9090,9563,18398,8990,9408,255,100,155,9281,18616,9066,9550,18354,8964,9390,262,102,160,9282,18620,9081,9539,18355,8976,9379,265,105,160
"합계",중랑구,망우3동,8208,16243,8145,8098,15876,7991,7885,367,154,213,8206,16254,8143,8111,15882,7986,7896,372,157,215,8218,16223,8116,8107,15847,7958,7889,376,158,218
"합계",중랑구,신내1동,14901,38419,18531,19888,38265,18463,19802,154,68,86,14928,38487,18578,19909,38332,18509,19823,155,69,86,14936,38484,18587,19897,38326,18515,19811,158,72,86
"합계",중랑구,신내2동,8958,20036,9504,10532,19952,9479,10473,84,25,59,8950,19974,9468,10506,19891,9444,10447,83,24,59,8942,19954,9449,10505,19870,9425,10445,84,24,60
"합계",중랑구,면목본동,17791,33752,16585,17167,33031,16302,16729,721,283,438,17774,33672,16515,17157,32948,16231,16717,724,284,440,17770,33685,16542,17143,32958,16259,16699,727,283,444
"합계",중랑구,면목3.8동,12834,25058,12383,12675,24623,12194,12429,435,189,246,12867,25131,12435,12696,24698,12247,12451,433,188,245,12850,25088,12400,12688,24650,12211,12439,438,189,249
"합계",중랑구,망우본동,17630,36008,17753,18255,35594,17596,17998,414,157,257,17629,35990,17731,18259,35576,17573,18003,414,158,256,17682,36017,17740,18277,35607,17587,18020,410,153,257
"합계",성북구,소계,197859,441855,210937,230918,430100,206634,223466,11755,4303,7452,197801,441853,210745,231108,429751,206367,223384,12102,4378,7724,197906,441788,210715,231073,429689,206319,223370,12099,4396,7703
"합계",성북구,돈암1동,6051,14489,6740,7749,14385,6703,7682,104,37,67,6053,14481,6730,7751,14375,6691,7684,106,39,67,6056,14453,6723,7730,14349,6684,7665,104,39,65
"합계",성북구,돈암2동,8501,23565,11136,12429,23460,11091,12369,105,45,60,8527,23631,11162,12469,23520,11114,12406,111,48,63,8532,23642,11175,12467,23528,11126,12402,114,49,65
"합계",성북구,안암동,9911,17248,8292,8956,15123,7610,7513,2125,682,1443,9907,17343,8279,9064,15110,7608,7502,2233,671,1562,9937,17350,8288,9062,15120,7618,7502,2230,670,1560
"합계",성북구,보문동,8157,16719,7966,8753,16312,7798,8514,407,168,239,8142,16694,7949,8745,16282,7783,8499,412,166,246,8150,16710,7960,8750,16305,7801,8504,405,159,246
"합계",성북구,정릉1동,7337,18121,8648,9473,17894,8564,9330,227,84,143,7343,18098,8636,9462,17861,8550,9311,237,86,151,7355,18094,8639,9455,17861,8553,9308,233,86,147
